,edgeLabel,locationA,locationB,actualDistance,Contributer,Notes
0,Nashville_tofrom_Jackson_on_I40,NashvilleTN,JacksonTN,129.0,IT,IT = the instructional team
1,Jackson_tofrom_Memphis_on_I40,JacksonTN,MemphisTN,88.0,IT,
2,Nashville_tofrom_BowlingGreen_on_I65,NashvilleTN,BowlingGreenKY,66.0,IT,
3,Louisville_tofrom_BowlingGreen_on_I65,LouisvilleKY,BowlingGreenKY,117.0,IT,
4,Indianapolis_tofrom_Louisville,IndianapolisIN,LouisvilleKY,114.0,IT,
5,Indianapolis_tofrom_TerreHaute,IndianapolisIN,TerreHauteIN,77.0,IT,
6,StLouis_tofrom_TerreHaute,StLouisMO,TerreHauteIN,170.0,IT,
7,Chicago_tofrom_Indianapolis,ChicagoIL,IndianapolisIN,183.0,IT,
8,Chicago_tofrom_Springfield,ChicagoIL,SpringfieldIL,200.0,IT,
9,StLouis_tofrom_Springfield,StLouisMO,SpringfieldIL,98.0,IT,
10,Cincinnati_tofrom_Lousville,CincinnatiOH,LouisvilleKY,100.0,IT,
11,Cincinnati_tofrom_Indianapolis,CincinnatiOH,IndianapolisIN,112.0,IT,
12,Indianapolis_tofrom_Columbus,IndianapolisIN,ColumbusOH,176.0,IT,
13,Cincinnati_tofrom_Columbus,CincinnatiOH,ColumbusOH,107.0,IT,
14,Columbus_tofrom_Cleveland,ColumbusOH,ClevelandOH,143.0,IT,
15,Louisville_tofrom_Lexington,LouisvilleKY,LexingtonKY,79.0,IT,
16,Knoxville_tofrom_Lexington,KnoxvilleTN,LexingtonKY,170.0,IT,
17,Cincinnati_tofrom_Lexington,CincinnatiOH,LexingtonKY,83.0,IT,
18,PortlandOR_tofrom_SeattleWA,PortlandOR,SeattleWA,174.0,IT,
19,PortlandOR_tofrom_PendletonOR,PortlandOR,PendletonOR,209.0,IT,
20,PortlandOR_tofrom_EugeneOR,PortlandOR,EugeneOR,110.0,IT,
21,EugeneOR_tofrom_PendletonOR,EugeneOR,PendletonOR,318.0,IT,
22,EugeneOR_tofrom_MedfordOR,EugeneOR,MedfordOR,168.0,IT,
23,PendletonOR_tofrom_MosesLakeWA,PendletonOR,MosesLakeWA,131.0,IT,
24,BoiseID_tofrom_PendletonOR,BoiseID,PendletonOR,222.0,IT,
25,BoiseID_tofrom_TwinFallsID,BoiseID,TwinFallsID,129.0,IT,
26,IdahoFallsID_tofrom_TwinFallsID,IdahoFallsID,TwinFallsID,160.0,IT,
27,SaltLakeCityUT_tofrom_TwinFallsID,SaltLakeCityUT,TwinFallsID,218.0,IT,
28,IdahoFallsID_tofrom_DeerLodgeMT,IdahoFallsID,DeerLodgeMT,232.0,IT,
29,SaltLakeCityUT_tofrom_IdahoFallsID,SaltLakeCityUT,IdahoFallsID,213.0,IT,
30,SpokaneWA_tofrom_MosesLakeWA,SpokaneWA,MosesLakeWA,104.0,IT,
31,SpokaneWA_tofrom_MullanID,SpokaneWA,MullanID,87.9,IT,
32,HelenaMT_tofrom_DeerLodgeMT,HelenaMT,DeerLodgeMT,54.7,IT,
33,HelenaMT_tofrom_BigTimberMT,HelenaMT,BigTimberMT,158.0,IT,
34,HelenaMT_tofrom_GreatFallsMT,HelenaMT,GreatFallsMT,90.8,IT,
35,SeattleWA_tofrom_PendletonOR,SeattleWA,PendletonOR,273.0,IT,
36,DenverCO_tofrom_BurlingtonCO,DenverCO,BurlingtonCO,168.0,IT,
37,ColoradoSpringsCO_tofrom_BurlingtonCO,ColoradoSpringsCO,BurlingtonCO,151.0,IT,
38,BurlingtonCO_tofrom_HaysKS,BurlingtonCO,HaysKS,173.0,IT,
39,ClevelandOH_tofrom_EriePA,ClevelandOH,EriePA,103.0,IT,
40,EriePA_tofrom_BuffaloNY,EriePA,BuffaloNY,96.9,IT,
41,EriePA_tofrom_PittsburghPA,EriePA,PittsburghPA,128.0,IT,
42,RochesterNY_tofrom_SyracuseNY,RochesterNY,SyracuseNY,86.5,IT,
43,SyracuseNY_tofrom_ScrantonPA,SyracuseNY,ScrantonPA,130.0,IT,
44,AlbanyNY_tofrom_SyracuseNY,AlbanyNY,SyracuseNY,145.0,IT,
45,ScrantonPA_tofrom_AllentownPA,ScrantonPA,AllentownPA,76.1,IT,
46,PhoenixAZ_tofrom_TucsonAZ,PhoenixAZ,TucsonAZ,112.0,IT,
47,TucsonAZ_tofrom_LordsburgNM,TucsonAZ,LordsburgNM,160.0,IT,
48,TucsonAZ_tofrom_GlobeAZ,TucsonAZ,GlobeAZ,101.0,IT,
49,MilwaukeeWI_tofrom_MadisonWI,MilwaukeeWI,MadisonWI,79.5,IT,
50,ChicagoIL_tofrom_MilwaukeeWI,ChicagoIL,MilwaukeeWI,92.1,IT,
51,MilwaukeeWI_tofrom_GreenBayWI,MilwaukeeWI,GreenBayWI,117.0,IT,
52,ChicagoIL_tofrom_GrandRapidsMI,ChicagoIL,GrandRapidsMI,178.0,IT,
53,GrandRapidsMI_tofrom_LansingMI,GrandRapidsMI,LansingMI,68.2,IT,
54,LansingMI_tofrom_FortWayneIN,LansingMI,FortWayneIN,133.0,IT,
55,LansingMI_tofrom_AnnArborMI,LansingMI,AnnArborMI,64.9,IT,
56,DetroitMI_tofrom_LansingMI,DetroitMI,LansingMI,94.5,IT,
57,AugustaME_tofrom_PortlandME,AugustaME,PortlandME,55.9,IT,
58,MontpelierVT_tofrom_ConcordNH,MontpelierVT,ConcordNH,117.0,IT,
59,PortlandME_tofrom_ConcordNH,PortlandME,ConcordNH,109.0,IT,
60,BostonMA_tofrom_PortlandME,BostonMA,PortlandME,107.0,IT,
61,BostonMA_tofrom_ConcordNH,BostonMA,ConcordNH,67.5,IT,
62,AlbanyNY_tofrom_ConcordNH,AlbanyNY,ConcordNH,148.0,IT,
63,BuffaloNY_tofrom_RochesterNY,BuffaloNY,RochesterNY,76.5,IT,
64,SyracuseNY_tofrom_RochesterNY,SyracuseNY,RochesterNY,86.4,IT,
65,AlbanyNY_tofrom_NewHavenCT,AlbanyNY,NewHavenCT,129.0,IT,
66,ProvidenceRI_tofrom_NewHavenCT,ProvidenceRI,NewHavenCT,102.0,IT,
67,BostonMA_tofrom_ProvidenceRI,BostonMA,ProvidenceRI,59.1,IT,
68,HartfordCT_tofrom_MontpelierVT,HartfordCT,MontpelierVT,199.0,IT,
69,BostonMA_tofrom_HartfordCT,BostonMA,HartfordCT,101.0,IT,
70,NewHavenCT_tofrom_HartfordCT,NewHavenCT,HartfordCT,38.8,IT,
71,ProvidenceRI_tofrom_HartfordCT,ProvidenceRI,HartfordCT,72.5,IT,
72,TrentonNJ_tofrom_MountHollyNJ,TrentonNJ,MountHollyNJ,21.0,IT,
73,PhiladelphiaPA_tofrom_TrentonNJ,PhiladelphiaPA,TrentonNJ,42.5,IT,
74,NewYorkNY_tofrom_TrentonNJ,NewYorkNY,TrentonNJ,67.1,IT,
75,NewYorkNY_tofrom_AllentownPA,NewYorkNY,AllentownPA,92.5,IT,
76,NewYorkNY_tofrom_NewHavenCT,NewYorkNY,NewHavenCT,80.9,IT,
77,AllentownPA_tofrom_PhiladelphiaPA,AllentownPA,PhiladelphiaPA,63.8,IT,
78,AllentownPA_tofrom_HarrisburgPA,AllentownPA,HarrisburgPA,84.0,IT,
79,HarrisburgPA_tofrom_PittsburghPA,HarrisburgPA,PittsburghPA,203.0,IT,
80,BaltimoreMD_tofrom_HarrisburgPA,BaltimoreMD,HarrisburgPA,79.2,IT,
81,PhiladelphiaPA_tofrom_BaltimoreMD,PhiladelphiaPA,BaltimoreMD,101.0,IT,
82,PhiladelphiaPA_tofrom_MountHollyNJ,PhiladelphiaPA,MountHollyNJ,26.4,IT,
83,PhiladelphiaPA_tofrom_OceanCityMD,PhiladelphiaPA,OceanCityMD,152.0,IT,
84,BaltimoreMD_tofrom_OceanCityMD,BaltimoreMD,OceanCityMD,147.0,IT,
85,CharlestonWV_tofrom_HuntingtonWV,CharlestonWV,HuntingtonWV,53.0,IT,
86,FairmontWV_tofrom_CharlestonWV,FairmontWV,CharlestonWV,140.0,IT,
87,BlacksburgVA_tofrom_CharlestonWV,BlacksburgVA,CharlestonWV,138.0,IT,
88,WashingtonDC_tofrom_BaltimoreMD,WashingtonDC,BaltimoreMD,40.1,IT,
89,WashingtonDC_tofrom_RichmondVA,WashingtonDC,RichmondVA,109.0,IT,
90,RichmondVA_tofrom_NorfolkVA,RichmondVA,NorfolkVA,92.9,IT,
91,RichmondVA_tofrom_HarrisburgPA,RichmondVA,HarrisburgPA,222.0,IT,
92,RichmondVA_tofrom_RaleighNC,RichmondVA,RaleighNC,175.0,IT,
93,ColumbiaSC_tofrom_AugustaGA,ColumbiaSC,AugustaGA,75.8,IT,
94,WilmingtonNC_tofrom_CharlestonSC,WilmingtonNC,CharlestonSC,176.0,IT,
95,CharlestonSC_tofrom_SavannahGA,CharlestonSC,SavannahGA,108.0,IT,
96,AugustaGA_tofrom_CharlestonSC,AugustaGA,CharlestonSC,169.0,IT,
97,ColumbiaSC_tofrom_CharlestonSC,ColumbiaSC,CharlestonSC,116.0,IT,
98,LubbockTX_tofrom_AmarilloTX,LubbockTX,AmarilloTX,122.0,IT,
99,DoraNM_tofrom_LubbockTX,DoraNM,LubbockTX,102.0,IT,
100,NewOrleansLA_tofrom_JacksonMS,NewOrleansLA,JacksonMS,186.0,IT,
101,NewOrleansLA_tofrom_BatonRougeLA,NewOrleansLA,BatonRougeLA,81.2,IT,
102,NewOrleansLA_tofrom_MobileAL,NewOrleansLA,MobileAL,144.0,IT,
103,BatonRougeLA_tofrom_JacksonMS,BatonRougeLA,JacksonMS,175.0,IT,
104,BatonRougeLA_tofrom_ShreveportLA,BatonRougeLA,ShreveportLA,247.0,IT,
105,HoustonTX_tofrom_BatonRougeLA,HoustonTX,BatonRougeLA,269.0,IT,
106,JacksonMS_tofrom_ShreveportLA,JacksonMS,ShreveportLA,217.0,IT,
107,MemphisTN_tofrom_JacksonMS,MemphisTN,JacksonMS,209.0,IT,
108,DallasTX_tofrom_ShreveportLA,DallasTX,ShreveportLA,188.0,IT,
109,ShreveportLA_tofrom_NewBostonTX,ShreveportLA,NewBostonTX,96.2,IT,
110,DesMoinesIA_tofrom_CedarRapidsIA,DesMoinesIA,CedarRapidsIA,128.0,IT,
111,CedarRapidsIA_tofrom_DavenportIA,CedarRapidsIA,DavenportIA,81.9,IT,
112,FortSmithAR_tofrom_JoplinMO,FortSmithAR,JoplinMO,146.0,IT,
113,LittleRockAR_tofrom_FortSmithAR,LittleRockAR,FortSmithAR,160.0,IT,
114,OklahomaCityOK_tofrom_FortSmithAR,OklahomaCityOK,FortSmithAR,181.0,IT,
115,TulsaOK_tofrom_JoplinMO,TulsaOK,JoplinMO,113.0,IT,
116,KansasCityKS_tofrom_JoplinMO,KansasCityMO,JoplinMO,161.0,IT,
117,StLouisMO_tofrom_JoplinMO,StLouisMO,JoplinMO,284.0,IT,
118,ColoradoSpringsCO_tofrom_PuebloNM,ColoradoSpringsCO,PuebloCO,45.0,IT,
119,SantaFeNM_tofrom_PuebloNM,SantaFeNM,PuebloCO,280.0,IT,
120,AlbuquerqueNM_tofrom_SantaFeNM,AlbuquerqueNM,SantaFeNM,64.1,IT,
121,OklahomaCityOK_tofrom_ElkCityOK,OklahomaCityOK,ElkCityOK,114.0,IT,
122,AmarilloTX_tofrom_ElkCityOK,AmarilloTX,ElkCityOK,148.0,IT,
123,TulsaOK_tofrom_OklahomaCityOK,TulsaOK,OklahomaCityOK,106.0,IT,
124,OklahomaCityOK_tofrom_WichitaKS,OklahomaCityOK,WichitaKS,161.0,IT,
125,DallasTX_tofrom_OklahomaCityOK,DallasTX,OklahomaCityOK,206.0,IT,
126,WichitaKS_tofrom_HaysKS,WichitaKS,HaysKS,183.0,IT,
127,ManhattanKS_tofrom_HaysKS,ManhattanKS,HaysKS,158.0,IT,
128,KansasCityMO_tofrom_ManhattanKS,KansasCityMO,ManhattanKS,119.0,IT,
129,KansasCityMO_tofrom_WichitaKS,KansasCityMO,WichitaKS,196.0,IT,
130,DenverCO_tofrom_NorthPlatteNE,DenverCO,NorthPlatteNE,265.0,IT,
131,LincolnNE_tofrom_NorthPlatteNE,LincolnNE,NorthPlatteNE,225.0,IT,
132,CheyenneWY_tofrom_NorthPlatteNE,CheyenneWY,NorthPlatteNE,222.0,IT,
133,LincolnNE_tofrom_OmahaNE,LincolnNE,OmahaNE,58.5,IT,
134,ChicagoIL_tofrom_DavenportIA,ChicagoIL,DavenportIA,176.0,IT,
135,DesMoinesIA_tofrom_DavenportIA,DesMoinesIA,DavenportIA,169.0,IT,
136,DavenportIA_tofrom_SpringfieldIL,DavenportIA,SpringfieldIL,171.0,IT,
137,RochesterMN_tofrom_MadisonWI,RochesterMN,MadisonWI,213.0,IT,
