,Location Label,Latitude,Longitude,Contributer,Notes
0,NashvilleTN,36.174465,-86.76796,IT,IT = the instructional team
1,MemphisTN,35.1175,-89.971107,IT,
2,JacksonTN,35.614517,-88.813947,IT,
3,SanJoseCA,37.3387,-121.88525,IT,
4,LouisvilleKY,38.25266,-85.75845,IT,
5,BowlingGreenKY,36.96852,-86.4808,IT,
6,IndianapolisIN,39.7684,-86.15806,IT,
7,TerreHauteIN,39.4667,-87.4113479102029,IT,
8,ChicagoIL,41.87811,-87.6297481303595,IT,
9,SpringfieldIL,39.7876055457904,-89.65014,IT,
10,CincinnatiOH,39.1034237828751,-84.51201,IT,
11,ColumbusOH,39.9694567921442,-83.0088918104052,IT,
12,ClevelandOH,41.5052656625989,-81.6975585220791,IT,
13,LexingtonKY,38.0401152920693,-84.5045794038329,IT,
14,PaloAltoCA,37.44188,-122.14301,IT,
15,SanDiegoCA,32.71573,-117.16108,IT,
16,LosAngelesCA,34.0549,-118.24264,IT,
17,HoustonTX,29.76042,-95.3698,IT,
18,SanAntonioTX,29.42519,-98.49459,IT,
19,DenverCO,39.73923,-104.99025,IT,
20,ColoradoSpringsCO,38.83388,-104.82136,IT,
21,BostonMA,42.36008,-71.05888,IT,
22,NewHavenCT,41.2983,-72.92788,IT,
23,PortlandOR,45.515232,-122.6783853,IT,
24,EugeneOR,44.0520691,-123.0867536,IT,
25,BoiseID,43.6150186,-116.2023137,IT,
26,PendletonOR,45.672075,-118.7885967,IT,
27,TwinFallsID,42.5558381,-114.4700518,IT,
28,IdahoFallsID,43.4926606,-112.0407584,IT,
29,SaltLakeCityUT,40.7607793,-111.8910474,IT,
30,MedfordOR,42.3265152,-122.8755949,IT,
31,ReddingCA,40.5865396,-122.3916754,IT,
32,SacramentoCA,38.5815719,-121.4943996,IT,
33,SouthLakeTahoeCA,38.939926,-119.9771868,IT,
34,RenoNV,39.529919,-119.8142691,IT,
35,FresnoCA,36.7377981,-119.7871247,IT,
36,CedarCityUT,37.6774768,-113.0618931,IT,
37,WinnemuccaNV,40.9728274,-117.7357354,IT,
38,ElkoNV,40.8324211,-115.7631232,IT,
39,GrandJunctionCO,39.0638705,-108.5506486,IT,
40,AspenCO,39.1910983,-106.8175387,IT,
41,BakersfieldCA,35.3732921,-119.0187125,IT,
42,AlbuquerqueNM,35.0843859,-106.650422,IT,
43,FlagstaffAZ,35.1982836,-111.651302,IT,
44,GallupNM,35.5280783,-108.7425843,IT,
45,CheyenneWY,41.1399814,-104.8202462,IT,
46,CasperWY,42.848709,-106.2980824,IT,
47,BuffaloWY,44.3483072,-106.6989375,IT,
48,CodyWY,44.5263421,-109.0565308,IT,
49,FargoND,46.8771863,-96.7898034,IT,
50,BismarckND,46.8054947,-100.7876931,IT,
51,GlendiveMT,47.106401,-104.7107931,IT,
52,GreatFallsMT,47.5052849,-111.3007715,IT,
53,HelenaMT,46.5891452,-112.0391057,IT,
54,MinneapolisMN,44.977753,-93.2650108,IT,
55,DuluthMN,46.7866718,-92.1004852,IT,
56,DesMoinesIA,41.5868353,-93.6249593,IT,
57,RochesterMN,44.0121221,-92.4801989,IT,
58,DavenportIA,41.5236437,-90.5776367,IT,
59,LincolnNE,40.813616,-96.7025955,IT,
60,NorthPlatteNE,41.1402759,-100.7601454,IT,
61,WichitaKS,37.687176,-97.330052,IT,
62,ManhattanKS,39.1836081,-96.571669,IT,
63,HaysKS,38.8791783,-99.3267702,IT,
64,OklahomaCityOK,35.4675602,-97.5164276,IT,
65,TulsaOK,36.1539816,-95.992775,IT,
66,ElkCityOK,35.4119944,-99.4042592,IT,
67,SantaFeNM,35.6869752,-105.937799,IT,
68,PuebloCO,38.2544472,-104.6091409,IT,
69,JoplinMO,37.0842271,-94.5132809,IT,
70,FortSmithAR,35.3843722,-94.4209645,IT,
71,CedarRapidsIA,41.9778795,-91.6656232,IT,
72,ShreveportLA,32.5251516,-93.7501789,IT,
73,JacksonMS,32.2987573,-90.1848103,IT,
74,BatonRougeLA,30.4514677,-91.1871465,IT,
75,NewOrleansLA,29.9510657,-90.0715323,IT,
76,LubbockTX,33.5845617,-101.8456417,IT,
77,CharlestonSC,32.7764749,-79.9310512,IT,
78,RichmondVA,37.5407246,-77.4360481,IT,
79,NorfolkVA,36.8507689,-76.2858725,IT,
80,OceanCityMD,38.3365032,-75.0849058,IT,
81,WashingtonDC,38.9071923,-77.0368707,IT,
82,CharlestonWV,38.3498195,-81.6326234,IT,
83,PhiladelphiaPA,39.9525839,-75.1652215,IT,
84,HarrisburgPA,40.2731911,-76.8867008,IT,
85,AllentownPA,40.6022939,-75.4714098,IT,
86,NewYorkNY,40.7127753,-74.0059728,IT,
87,TrentonNJ,40.2205824,-74.759717,IT,
88,HartfordCT,41.7658043,-72.6733723,IT,
89,ProvidenceRI,41.8239891,-71.4128343,IT,
90,AlbanyNY,42.6525793,-73.7562317,IT,
91,RochesterNY,43.1565778,-77.6088465,IT,
92,BuffaloNY,42.8864467,-78.8783689,IT,
93,ConcordNH,43.2081366,-71.5375718,IT,
94,PortlandME,43.6590993,-70.2568189,IT,
95,MontpelierVT,44.2600592,-72.5753869,IT,
96,AugustaME,44.3106241,-69.7794897,IT,
97,GrandRapidsMI,42.9633599,-85.6680863,IT,
98,LansingMI,42.732535,-84.5555347,IT,
99,GreenBayWI,44.5133188,-88.0132958,IT,
